tai version : 2.7.12
PyTorch version: 1.12.1
Number of GPUs : 1
Device         : cuda

Dataset sizes: "train, val"--> [346, 88] 


- - - - -
Training for 1000 epochs:
- - - - -

epoch     train_loss  valid_loss  error_rate  time    
0         1.297663    1.134268    0.500000    00:16                                    
epoch     train_loss  valid_loss  error_rate  time    
126       0.136820    2.119511    0.409091    00:05                                         
127       0.134964    2.059007    0.454545    00:05                                         
128       0.131919    2.011736    0.386364    00:05                                         
129       0.126232    1.979743    0.375000    00:05                                         
130       0.129282    1.678636    0.409091    00:05                                         
131       0.126530    1.717472    0.375000    00:05                                         
132       0.131100    1.844120    0.409091    00:05                                         
133       0.134873    2.284201    0.431818    00:05                                         
134       0.133269    2.243921    0.443182    00:05                                         
135       0.127474    1.955816    0.443182    00:05                                         
136       0.124502    1.898271    0.431818    00:05                                         
137       0.121620    1.925460    0.443182    00:05                                         
138       0.125736    2.438614    0.454545    00:05                                         
139       0.125174    2.791353    0.465909    00:05                                         
140       0.126137    2.248387    0.386364    00:05                                         
141       0.122512    2.167393    0.420455    00:05                                         
142       0.128197    2.028279    0.420455    00:05                                         
143       0.131865    1.978793    0.465909    00:05                                         
144       0.128113    2.163380    0.454545    00:05                                         
145       0.129634    2.210455    0.443182    00:05                                         
146       0.129290    2.308511    0.465909    00:05                                         
147       0.133280    2.288960    0.431818    00:05                                         
148       0.135752    1.983356    0.386364    00:05                                         
149       0.135724    2.051266    0.397727    00:05                                         
150       0.129951    2.152685    0.477273    00:05                                         
151       0.125247    1.877077    0.420455    00:05                                         
152       0.124765    1.840803    0.397727    00:05                                         
153       0.121393    1.948017    0.431818    00:05                                         
154       0.123471    2.296062    0.443182    00:05                                         
155       0.124121    2.101485    0.443182    00:05                                         
156       0.120580    1.974302    0.477273    00:05                                         
157       0.121339    1.923051    0.431818    00:05                                         
158       0.120050    1.986798    0.409091    00:05                                         
159       0.117724    2.337259    0.420455    00:05                                         
160       0.116708    2.437957    0.443182    00:05                                         
161       0.115559    2.374004    0.465909    00:05                                         
162       0.117668    2.460387    0.443182    00:05                                         
163       0.115276    2.591632    0.431818    00:05                                         
164       0.116439    2.666991    0.352273    00:05                                         
165       0.115047    2.361498    0.397727    00:05                                         
166       0.113365    2.137189    0.397727    00:05                                         
167       0.117503    2.358580    0.522727    00:05                                         
168       0.118334    2.264445    0.431818    00:05                                         
169       0.116758    2.439637    0.465909    00:05                                         
170       0.117908    2.293188    0.454545    00:05                                         
171       0.125247    1.979429    0.386364    00:05                                         
172       0.126162    1.914257    0.375000    00:05                                         
173       0.122121    2.383510    0.431818    00:05                                         
174       0.124029    2.288564    0.431818    00:05                                         
175       0.123414    1.806372    0.375000    00:05                                         
176       0.124729    1.841168    0.500000    00:05                                         
177       0.117183    2.040846    0.465909    00:05                                         
178       0.113558    2.158012    0.477273    00:05                                         
179       0.109876    2.053430    0.477273    00:05                                         
180       0.103666    2.054026    0.465909    00:05                                         
181       0.101166    2.575337    0.488636    00:05                                         
182       0.099632    2.256817    0.522727    00:05                                         
183       0.097738    2.080777    0.465909    00:05                                         
184       0.094603    1.913695    0.465909    00:05                                         
185       0.096625    1.903734    0.443182    00:05                                         
186       0.091678    2.169374    0.443182    00:05                                         
187       0.094531    1.857821    0.386364    00:05                                         
188       0.095946    1.890575    0.431818    00:05                                         
189       0.097098    1.998904    0.409091    00:05                                         
190       0.098894    1.891042    0.386364    00:05                                         
191       0.095892    2.110799    0.454545    00:05                                         
192       0.095479    2.341492    0.511364    00:05                                         
193       0.093572    2.030112    0.500000    00:05                                         
194       0.093058    2.251602    0.488636    00:05                                         
195       0.091625    2.564149    0.477273    00:05                                         
196       0.090275    2.561805    0.500000    00:05                                         
197       0.089344    2.543245    0.500000    00:05                                         
198       0.085967    2.461491    0.488636    00:05                                         
199       0.083185    2.056211    0.409091    00:05                                         
200       0.084071    2.231652    0.465909    00:05                                         
201       0.084650    2.387142    0.488636    00:05                                         
202       0.085025    2.541736    0.431818    00:05                                         
203       0.086763    2.473673    0.465909    00:05                                         
204       0.086957    2.348854    0.431818    00:05                                         
205       0.085725    2.081414    0.443182    00:05                                         
206       0.091912    2.414232    0.500000    00:05                                         
207       0.091587    2.854935    0.488636    00:05                                         
208       0.089673    2.472605    0.454545    00:05                                         
209       0.083888    2.290517    0.397727    00:05                                         
210       0.085618    2.626240    0.488636    00:05                                         
211       0.088480    2.391603    0.454545    00:05                                         
212       0.087121    2.035469    0.397727    00:05                                         
213       0.086659    2.447974    0.477273    00:05                                         
214       0.084619    2.758975    0.454545    00:05                                         
215       0.086426    2.556154    0.443182    00:05                                         
216       0.087616    2.063453    0.488636    00:05                                         
217       0.086392    2.127384    0.375000    00:05                                         
218       0.086931    2.351832    0.477273    00:05                                         
219       0.090146    2.165365    0.488636    00:05                                         
220       0.090386    1.836897    0.420455    00:05                                         
221       0.089911    2.006457    0.454545    00:05                                         
222       0.087366    2.109980    0.500000    00:05                                         
223       0.089679    1.973395    0.488636    00:05                                         
224       0.089048    1.895036    0.397727    00:05                                         
225       0.086960    1.882449    0.420455    00:05                                         
226       0.085152    2.173707    0.409091    00:05                                         
227       0.082510    1.904794    0.420455    00:05                                         
228       0.084136    1.905774    0.477273    00:05                                         
229       0.084086    1.669943    0.397727    00:05                                         
230       0.082082    1.984762    0.431818    00:05                                         
231       0.080884    2.109335    0.477273    00:05                                         
232       0.081133    1.971073    0.443182    00:05                                         
233       0.080861    2.361303    0.431818    00:05                                         
234       0.081409    2.455917    0.522727    00:05                                         
235       0.079715    2.598779    0.465909    00:05                                         
236       0.077613    2.145149    0.443182    00:05                                         
237       0.075456    1.849056    0.500000    00:05                                         
238       0.074111    2.060209    0.465909    00:05                                         
239       0.070401    2.200921    0.420455    00:05                                         
240       0.071084    2.223795    0.420455    00:05                                         
241       0.071638    1.915545    0.409091    00:05                                         
242       0.070555    1.819267    0.409091    00:05                                         
243       0.075476    2.404764    0.477273    00:05                                         
244       0.074190    2.523867    0.454545    00:05                                         
245       0.075215    2.354885    0.409091    00:05                                         
246       0.071795    2.007999    0.397727    00:05                                         
247       0.072098    1.938997    0.420455    00:05                                         
248       0.073547    1.968045    0.431818    00:05                                         
249       0.073970    1.969746    0.420455    00:05                                         
250       0.073105    2.016283    0.409091    00:05                                         
251       0.070853    2.090977    0.420455    00:05                                         
252       0.069194    2.178525    0.363636    00:05                                         
253       0.073763    1.634073    0.340909    00:05                                         
254       0.076474    1.902032    0.454545    00:05                                         
255       0.080940    2.327647    0.431818    00:05                                         
256       0.083162    2.048179    0.465909    00:05                                         
257       0.086629    2.016986    0.431818    00:05                                         
258       0.086056    2.127881    0.465909    00:05                                         
259       0.085802    2.421425    0.465909    00:05                                         
260       0.081599    2.532225    0.511364    00:05                                         
261       0.082279    2.141433    0.397727    00:05                                         
262       0.080031    1.983694    0.386364    00:05                                         
263       0.079378    1.960623    0.443182    00:05                                         
264       0.078519    1.750507    0.409091    00:05                                         
265       0.079725    1.853843    0.431818    00:05                                         
266       0.076170    2.060238    0.443182    00:05                                         
267       0.073469    2.244238    0.465909    00:05                                         
268       0.070357    2.307534    0.443182    00:05                                         
269       0.067472    2.179260    0.420455    00:05                                         
270       0.070647    2.215203    0.397727    00:05                                         
271       0.074001    2.892712    0.534091    00:05                                         
272       0.073249    2.570511    0.500000    00:05                                         
273       0.075434    1.924535    0.363636    00:05                                         
274       0.075957    1.875555    0.386364    00:05                                         
275       0.076395    2.334399    0.511364    00:05                                         
276       0.075366    1.892335    0.443182    00:05                                         
277       0.073262    1.769804    0.465909    00:05                                         
278       0.069784    1.844574    0.420455    00:05                                         
279       0.065867    1.987600    0.431818    00:05                                         
280       0.062528    2.314488    0.443182    00:05                                         
281       0.059473    2.397976    0.465909    00:05                                         
282       0.055127    2.181565    0.431818    00:05                                         
283       0.053391    2.084364    0.443182    00:05                                         
284       0.054344    2.127476    0.431818    00:05                                         
285       0.056192    2.053742    0.454545    00:05                                         
286       0.056845    2.227836    0.454545    00:05                                         
287       0.062803    2.370173    0.477273    00:05                                         
288       0.063804    2.014523    0.443182    00:05                                         
289       0.063984    2.003512    0.363636    00:05                                         
290       0.063590    1.871731    0.363636    00:05                                         
291       0.066719    1.643097    0.431818    00:05                                         
292       0.062194    1.716454    0.465909    00:05                                         
293       0.067953    1.760939    0.443182    00:05                                         
294       0.067255    1.700638    0.397727    00:05                                         
295       0.064084    2.059750    0.386364    00:05                                         
296       0.062484    1.938480    0.420455    00:05                                         
297       0.059161    2.366240    0.477273    00:05                                         
298       0.059011    2.761508    0.488636    00:05                                         
299       0.056706    1.871520    0.409091    00:05                                         
300       0.053752    1.645265    0.409091    00:05                                         
301       0.053238    2.031882    0.465909    00:05                                         
302       0.053427    2.305302    0.420455    00:05                                         
303       0.056687    2.090235    0.420455    00:05                                         
304       0.056116    2.182585    0.397727    00:05                                         
305       0.056712    2.348366    0.454545    00:05                                         
306       0.057724    1.763235    0.386364    00:05                                         
307       0.055863    1.785373    0.409091    00:05                                         
308       0.054180    1.724382    0.386364    00:05                                         
309       0.056153    1.789801    0.363636    00:05                                         
310       0.054697    1.875353    0.386364    00:05                                         
311       0.056818    1.833951    0.420455    00:05                                         
312       0.057230    1.978258    0.420455    00:05                                         
313       0.058082    2.015318    0.431818    00:05                                         
314       0.063490    1.662434    0.420455    00:05                                         
315       0.059949    1.867558    0.397727    00:05                                         
316       0.059727    1.829654    0.409091    00:05                                         
317       0.057711    2.207582    0.454545    00:05                                         
318       0.054421    2.020011    0.465909    00:05                                         
319       0.053784    1.736062    0.420455    00:05                                         
320       0.054815    1.642766    0.443182    00:05                                         
321       0.052991    1.609108    0.454545    00:05                                         
322       0.052778    1.845845    0.431818    00:05                                         
323       0.053985    2.009596    0.443182    00:05                                         
324       0.053068    1.669230    0.363636    00:05                                         
325       0.054116    1.743712    0.340909    00:05                                         
326       0.052570    1.826624    0.409091    00:05                                         
327       0.050327    1.607140    0.340909    00:05                                         
328       0.049832    1.831972    0.409091    00:05                                         
329       0.049581    1.801296    0.409091    00:05                                         
330       0.048829    1.863635    0.386364    00:05                                         
331       0.048832    1.442111    0.363636    00:05                                         
332       0.046021    1.596603    0.386364    00:05                                         
333       0.043595    1.761444    0.397727    00:05                                         
334       0.042774    1.602407    0.386364    00:05                                         
335       0.041284    1.586956    0.329545    00:05                                         
336       0.041501    1.661923    0.352273    00:05                                         
337       0.038912    2.114860    0.431818    00:05                                         
338       0.038333    2.133943    0.420455    00:05                                         
339       0.037799    2.047976    0.420455    00:05                                         
340       0.036561    2.079384    0.397727    00:05                                         
341       0.037500    2.435271    0.443182    00:05                                         
342       0.047450    2.058320    0.431818    00:05                                         
343       0.048503    1.697128    0.409091    00:05                                         
344       0.052907    1.454885    0.397727    00:05                                         
345       0.053312    1.586962    0.420455    00:05                                         
346       0.050496    1.745376    0.420455    00:05                                         
347       0.051015    1.937097    0.409091    00:05                                         
348       0.049962    2.077663    0.477273    00:05                                         
349       0.047904    1.916278    0.431818    00:05                                         
350       0.046492    2.057623    0.431818    00:05                                         
351       0.045098    2.037220    0.397727    00:05                                         
352       0.042370    2.213587    0.352273    00:05                                         
353       0.041906    2.452827    0.443182    00:05                                         
354       0.044054    2.813331    0.477273    00:05                                         
355       0.043028    2.531095    0.443182    00:05                                         
356       0.040969    2.215466    0.420455    00:05                                         
357       0.039666    2.126405    0.397727    00:05                                         
358       0.037497    2.516219    0.443182    00:05                                         
359       0.041094    2.229370    0.454545    00:05                                         
360       0.043810    2.070158    0.431818    00:05                                         
361       0.046868    1.901836    0.454545    00:05                                         
362       0.047057    2.057132    0.454545    00:05                                         
363       0.047830    1.909965    0.454545    00:05                                         
364       0.053486    2.036900    0.511364    00:05                                         
365       0.052321    1.824074    0.443182    00:05                                         
366       0.051352    1.920886    0.409091    00:05                                         
367       0.050959    1.939126    0.420455    00:05                                         
368       0.047247    2.166986    0.443182    00:05                                         
369       0.047034    2.057074    0.386364    00:05                                         
370       0.047200    1.751762    0.386364    00:05                                         
371       0.045486    1.731187    0.386364    00:05                                         
372       0.047305    2.158592    0.386364    00:05                                         
373       0.045959    2.195122    0.386364    00:05                                         
374       0.044290    2.186849    0.443182    00:05                                         
375       0.041844    2.057162    0.409091    00:05                                         
376       0.039412    2.065512    0.420455    00:05                                         
377       0.037834    2.097794    0.431818    00:05                                         
378       0.038205    2.386830    0.443182    00:05                                         
379       0.036918    2.693521    0.397727    00:05                                         
380       0.037858    2.049932    0.454545    00:05                                         
381       0.039260    2.091866    0.420455    00:05                                         
382       0.041437    2.143821    0.431818    00:05                                         
383       0.042173    1.802395    0.409091    00:05                                         
384       0.045666    1.723132    0.409091    00:05                                         
385       0.043920    1.844365    0.409091    00:05                                         
386       0.042134    1.875289    0.397727    00:05                                         
387       0.039662    1.885862    0.409091    00:05                                         
388       0.037288    1.982429    0.420455    00:05                                         
389       0.034209    2.066878    0.409091    00:05                                         
390       0.034684    2.032204    0.386364    00:05                                         
391       0.032285    2.063566    0.397727    00:05                                         
392       0.037547    2.272176    0.477273    00:05                                         
393       0.041113    2.619368    0.454545    00:05                                         
394       0.040052    2.159831    0.477273    00:05                                         
395       0.039223    2.331492    0.431818    00:05                                         
396       0.043363    1.868044    0.397727    00:05                                         
397       0.044541    1.982927    0.443182    00:05                                         
398       0.042173    2.092870    0.454545    00:05                                         
399       0.039974    1.932975    0.409091    00:05                                         
400       0.038434    1.810456    0.363636    00:05                                         
401       0.036420    1.775218    0.420455    00:05                                         
402       0.035952    1.719791    0.420455    00:05                                         
403       0.035300    1.920866    0.340909    00:05                                         
404       0.034242    2.010468    0.431818    00:05                                         
405       0.034487    1.742978    0.420455    00:05                                         
406       0.033502    1.905108    0.397727    00:05                                         
407       0.032330    2.215707    0.420455    00:05                                         
408       0.035790    2.666818    0.477273    00:05                                         
409       0.040802    2.618314    0.409091    00:05                                         
410       0.041953    2.096479    0.431818    00:05                                         
411       0.043089    1.873991    0.420455    00:05                                         
412       0.045217    2.070568    0.465909    00:05                                         
413       0.049778    2.442195    0.454545    00:05                                         
414       0.046781    2.576484    0.500000    00:05                                         
415       0.046658    2.061001    0.420455    00:05                                         
416       0.046530    1.672217    0.431818    00:05                                         
417       0.051823    1.674965    0.454545    00:05                                         
418       0.050015    1.824987    0.431818    00:05                                         
419       0.047422    1.915032    0.431818    00:05                                         
420       0.045259    1.906149    0.409091    00:05                                         
421       0.042070    1.852471    0.420455    00:05                                         
422       0.040533    1.716605    0.375000    00:05                                         
423       0.039004    1.864097    0.420455    00:05                                         
424       0.039374    1.811602    0.329545    00:05                                         
425       0.037061    1.810311    0.363636    00:05                                         
426       0.034460    1.797031    0.340909    00:05                                         
427       0.033116    1.742336    0.397727    00:05                                         
428       0.030495    1.838282    0.375000    00:05                                         
429       0.029471    1.827295    0.318182    00:05                                         
430       0.028224    1.712712    0.340909    00:05                                         
431       0.027522    1.643065    0.386364    00:05                                         
432       0.027193    1.683778    0.352273    00:05                                         
433       0.025088    1.924661    0.352273    00:05                                         
434       0.027060    2.024946    0.397727    00:05                                         
435       0.026535    2.036284    0.431818    00:05                                         
436       0.026240    1.887666    0.454545    00:05                                         
437       0.027605    2.018815    0.454545    00:05                                         
438       0.030126    2.048291    0.397727    00:05                                         
439       0.032816    2.143764    0.420455    00:05                                         
440       0.033534    2.352025    0.431818    00:05                                         
441       0.033411    2.276227    0.386364    00:05                                         
442       0.033123    2.197909    0.397727    00:05                                         
443       0.032673    2.193465    0.420455    00:05                                         
444       0.033133    2.298689    0.431818    00:05                                         
445       0.033349    2.174359    0.454545    00:05                                         
446       0.035188    2.048845    0.465909    00:05                                         
447       0.036766    2.157613    0.465909    00:05                                         
448       0.035502    2.069255    0.488636    00:05                                         
449       0.037588    1.928458    0.431818    00:05                                         
450       0.037413    1.999854    0.443182    00:05                                         
451       0.035401    2.049820    0.409091    00:05                                         
452       0.034416    1.825276    0.397727    00:05                                         
453       0.032101    1.770630    0.420455    00:05                                         
454       0.032332    1.953900    0.420455    00:05                                         
455       0.031157    2.162909    0.409091    00:05                                         
456       0.031567    2.171428    0.409091    00:05                                         
457       0.029165    2.377459    0.465909    00:05                                         
