fastai version : 2.7.12
PyTorch version: 1.12.1
Number of GPUs : 1
Device         : cuda

Dataset sizes: "train, val"--> [346, 88] 


- - - - -
Training for 1000 epochs:
- - - - -

epoch     train_loss  valid_loss  error_rate  time    
109       0.436966    1.266157    0.409091    00:05                                         
110       0.428553    1.298324    0.431818    00:05                                         
111       0.424249    1.344690    0.363636    00:05                                         
112       0.419532    1.221504    0.375000    00:05                                         
113       0.418160    1.241318    0.386364    00:05                                         
114       0.416038    1.180830    0.386364    00:05                                         
115       0.407695    1.109828    0.386364    00:05                                         
116       0.395814    1.092207    0.397727    00:05                                         
117       0.396133    1.052561    0.420455    00:05                                         
118       0.391412    1.148166    0.397727    00:05                                         
119       0.387243    1.179398    0.397727    00:05                                         
120       0.378215    1.255815    0.386364    00:05                                         
121       0.376746    1.385786    0.420455    00:05                                         
122       0.373600    1.519423    0.443182    00:05                                         
123       0.372178    1.440529    0.454545    00:05                                         
124       0.368224    1.239259    0.431818    00:05                                         
125       0.367140    1.111557    0.454545    00:05                                         
126       0.364715    1.113221    0.409091    00:05                                         
127       0.363927    1.074394    0.409091    00:05                                         
128       0.352436    1.204084    0.352273    00:05                                         
129       0.342590    1.238392    0.352273    00:05                                         
130       0.340569    1.257132    0.409091    00:05                                         
131       0.329494    1.248027    0.443182    00:05                                         
132       0.325350    1.270767    0.409091    00:05                                         
133       0.325293    1.337556    0.443182    00:05                                         
134       0.320763    1.441349    0.443182    00:05                                         
135       0.315938    1.171049    0.443182    00:05                                         
136       0.306315    1.127396    0.465909    00:05                                         
137       0.308255    1.157562    0.431818    00:05                                         
138       0.301798    1.333754    0.431818    00:05                                         
139       0.303109    1.574348    0.454545    00:05                                         
140       0.300425    1.505737    0.477273    00:05                                         
141       0.292843    1.398330    0.454545    00:05                                         
142       0.288160    1.388990    0.454545    00:05                                         
143       0.287134    1.465572    0.420455    00:05                                         
144       0.288125    1.384663    0.443182    00:05                                         
145       0.283752    1.121030    0.363636    00:05                                         
146       0.276931    1.202259    0.329545    00:05                                         
147       0.284084    1.149226    0.352273    00:05                                         
148       0.286792    1.411817    0.397727    00:05                                         
149       0.291464    1.659922    0.409091    00:05                                         
150       0.290567    1.510947    0.431818    00:05                                         
151       0.289681    1.520615    0.409091    00:05                                         
152       0.294199    1.409985    0.409091    00:05                                         
153       0.293380    1.452398    0.454545    00:05                                         
154       0.288792    1.483625    0.443182    00:05                                         
155       0.291610    1.430538    0.454545    00:05                                         
156       0.285573    1.482058    0.454545    00:05                                         
157       0.281489    1.379160    0.397727    00:05                                         
158       0.280968    1.213447    0.420455    00:05                                         
159       0.282948    1.284457    0.420455    00:05                                         
160       0.280597    1.395365    0.397727    00:05                                         
161       0.280473    1.472136    0.443182    00:05                                         
162       0.273390    1.385794    0.443182    00:05                                         
163       0.274736    1.113745    0.409091    00:05                                         
164       0.270257    1.023711    0.397727    00:05                                         
165       0.268210    1.272045    0.363636    00:05                                         
166       0.273335    1.306186    0.420455    00:05                                         
167       0.273405    1.483809    0.454545    00:05                                         
168       0.268229    1.151955    0.409091    00:05                                         
169       0.264589    1.238075    0.409091    00:05                                         
170       0.260700    1.294298    0.465909    00:05                                         
171       0.262260    1.177443    0.443182    00:05                                         
172       0.257963    1.304286    0.431818    00:05                                         
173       0.251826    1.196629    0.420455    00:05                                         
174       0.255748    1.232209    0.386364    00:05                                         
175       0.250787    1.272840    0.409091    00:05                                         
176       0.252342    1.340801    0.397727    00:05                                         
177       0.248060    1.358588    0.375000    00:05                                         
178       0.251411    1.275178    0.363636    00:05                                         
179       0.247425    1.594175    0.443182    00:05                                         
180       0.242795    1.369696    0.375000    00:05                                         
181       0.245019    1.306249    0.397727    00:05                                         
182       0.238550    1.348814    0.375000    00:05                                         
183       0.234221    1.564287    0.409091    00:05                                         
184       0.229688    1.650718    0.420455    00:05                                         
185       0.226521    1.458585    0.375000    00:05                                         
186       0.224305    1.617753    0.431818    00:05                                         
187       0.220596    2.015903    0.477273    00:05                                         
188       0.217382    1.673442    0.409091    00:05                                         
189       0.216670    1.532513    0.454545    00:05                                         
190       0.217200    1.615525    0.409091    00:05                                         
191       0.214238    1.630520    0.386364    00:05                                         
192       0.208431    1.548121    0.477273    00:05                                         
193       0.202487    1.606178    0.431818    00:05                                         
194       0.206482    1.609334    0.454545    00:05                                         
195       0.210716    1.631840    0.465909    00:05                                         
196       0.204201    1.557334    0.465909    00:05                                         
197       0.200545    1.465841    0.420455    00:05                                         
198       0.205218    1.597959    0.409091    00:05                                         
199       0.206006    1.630882    0.454545    00:05                                         
